track_id,callsign,lat,lon,alt_m,velocity,heading,nic,nac_p,rc_m,airborne,integrity_score,status
781dc7,CYZ278,55.344772,13.770878,11605.26,262.6751064,59.52,8,11.0,186.0,True,0.0,healthy
461f65,FIN2AU,55.827538,14.002333,12214.86,240.8626808,46.21,8,9.0,186.0,True,0.0,healthy
4b18f3,SWR2YB,55.0429,14.005737,11917.68,222.4455856,203.01,8,9.0,186.0,True,0.0,healthy
4b8e46,PGT44AN,56.192461,14.22266,11285.220000000001,219.0502552,333.8,8,11.0,186.0,True,0.0,healthy
06a07d,QTR21X,56.389983,14.278879,10058.4,242.560346,334.9,8,9.0,186.0,True,0.0,healthy
04022a,ETH3738,54.907288,14.324556,9791.7,267.6652132,54.39,8,11.0,186.0,True,0.0,healthy
48e979,LOT9004,55.455826,14.470825,12816.84,240.245348,129.18,8,11.0,186.0,True,0.0,healthy
502db3,BTI9AH,54.875219,14.592008,11612.880000000001,242.2516796,54.42,8,11.0,186.0,True,0.0,healthy
4ab824,NSZ3298,54.296389,14.629794,10043.16,243.2291232,160.61,8,11.0,186.0,True,0.0,healthy
4baa59,THY7PU,54.766891,14.789617,8793.48,204.5943788,312.76,8,9.0,186.0,True,0.0,healthy
4bb854,PGT5078,54.209848,15.692596,11635.74,243.6406784,143.76,8,8.0,186.0,True,0.1111111111111111,healthy
78158f,CHH470,55.505539,15.92643,11605.26,261.9548848,60.46,8,9.0,186.0,True,0.0,healthy
3c674d,DLH8JT,58.049197,16.002777,9494.52,229.8021348,208.92,8,9.0,186.0,True,0.0,healthy
502ccf,BTI8PW,55.796802,16.246495,10363.2,203.71982400000002,248.2,0,0.0,0.0,True,1.0,lost
48ce47,SPUTH,52.042145,16.465988,1005.84,48.357736,249.44,9,10.0,75.0,False,0.0,healthy
49c270,OKZUA23,51.824799,16.503989,281.94,38.686188800000004,229.32,0,10.0,0.0,False,1.0,lost
49c1f8,OKYUA95,51.826263,16.506587,274.32,38.7376332,230.39,0,10.0,0.0,False,1.0,lost
78232f,YZR7905,56.588974,16.509621,10256.52,235.35813000000002,233.98,8,11.0,186.0,True,0.0,healthy
4acb03,NSZ2MP,56.744202,16.517086,12169.140000000001,230.0593568,18.92,8,8.0,186.0,True,0.1111111111111111,healthy
48fe06,SPSKRG,51.834404,16.52874,,0.0,0.0,6,10.0,926.0,False,0.14285714285714285,healthy
48b216,SPMRX,51.835842,16.529079,,5.555995200000001,0.0,9,10.0,75.0,False,0.0,healthy
48fc77,SPEEDY,52.149765,16.562195,327.66,63.6881672,15.95,3,0.0,7408.0,True,1.0,lost
4aca72,SAS2746,56.164627,16.567633,10340.34,248.52789640000003,73.4,8,11.0,186.0,True,0.0,healthy
